FAV,POS,MOV,PLAYER,OVERALL,THRU,RND,R1,R2,R3,R4
1,1,Adrian Meronk represents 475786Adrian Meronk,-13,F,-2,68,68,66,69,271
2,1,Romain Langasque represents 475707Romain Langasque,-12,F,-1,68,72,62,70,272
3,2,Julien Guerrier represents 475707Julien Guerrier,-10,F,2,66,69,66,73,274
4,8,Alexander Björk represents 475696Alexander Björk,-8,F,-3,69,68,71,68,276
T5,27,Nicolai Hojgaard represents 475687Nicolai Hojgaard,-7,F,-6,73,68,71,65,277
T5,3,Maximilian Kieffer represents 475711Maximilian Kieffer,-7,F,-1,65,74,68,70,277
T5,1,Daniel van Tonder represents 475832Daniel van Tonder,-7,F,1,71,67,67,72,277
8,4,Jorge Campillo represents 475833Jorge Campillo,-6,F,-1,67,71,70,70,278
T9,3,Marcus Armitage represents 476063Marcus Armitage,-5,F,E,70,69,69,71,279
T9,1,Eddie Pepperell represents 476063Eddie Pepperell,-5,F,1,69,70,68,72,279
T9,15,Victor Perez represents 475707Victor Perez,-5,F,-3,69,68,74,68,279
T9,3,Kalle Samooja represents 475706Kalle Samooja,-5,F,E,68,74,66,71,279
T9,15,Callum Shinkwin represents 476063Callum Shinkwin,-5,F,-3,70,72,69,68,279
T9,8,Sebastian Soderberg represents 475696Sebastian Soderberg,-5,F,-1,70,72,67,70,279
T9,1,Clement Sordet represents 475707Clement Sordet,-5,F,1,69,70,68,72,279
T16,4,Aaron Cockerill represents 475635Aaron Cockerill,-4,F,1,71,71,66,72,280
T16,2,Ryo Hisatsune represents 475733Ryo Hisatsune,-4,F,-1,71,71,68,70,280
T16,12,Tapio Pulkkanen represents 475706Tapio Pulkkanen,-4,F,4,67,70,68,75,280
T16,2,Jordan Smith represents 476063Jordan Smith,-4,F,-1,68,70,72,70,280
T16,2,Santiago Tarrio represents 475833Santiago Tarrio,-4,F,-1,68,73,69,70,280
T21,25,Antoine Rozner represents 475707Antoine Rozner,-3,F,-4,70,74,70,67,281
T21,16,Sami Valimaki represents 475706Sami Valimaki,-3,F,-3,72,70,71,68,281
T23,5,Bryce Easton represents 475832Bryce Easton,-2,F,1,72,70,68,72,282
T23,1,Niklas Nørgaard represents 475687Niklas Nørgaard,-2,F,E,68,75,68,71,282
T23,15,Yannik Paul represents 475711Yannik Paul,-2,F,4,68,71,68,75,282
T26,8,Matthew Baldwin represents 476063Matthew Baldwin,-1,F,2,70,68,72,73,283
T26,8,Wil Besseling represents 475770Wil Besseling,-1,F,2,71,71,68,73,283
T26,11,Todd Clements represents 476063Todd Clements,-1,F,-1,67,73,73,70,283
T26,32,Zander Lombard represents 475832Zander Lombard,-1,F,-4,71,73,72,67,283
T26,11,Shubhankar Sharma represents 475727Shubhankar Sharma,-1,F,-1,73,67,73,70,283
T26,22,Marcel Siem represents 475711Marcel Siem,-1,F,7,67,71,67,78,283
T32,8,Dan Bradbury represents 476063Dan Bradbury,E,F,2,70,71,70,73,284
T32,5,Grant Forrest represents 475842Grant Forrest,E,F,E,71,71,71,71,284
T32,8,Simon Forsström represents 475696Simon Forsström,E,F,2,73,67,71,73,284
T32,28,Matthieu Pavon represents 475707Matthieu Pavon,E,F,8,63,70,72,79,284
T32,21,JC Ritchie represents 475832JC Ritchie,E,F,-2,73,70,72,69,284
T32,5,Matthew Southgate represents 476063Matthew Southgate,E,F,E,74,69,70,71,284
T32,8,Nicolai Von Dellingshausen represents 475711Nicolai Von Dellingshausen,E,F,2,73,68,70,73,284
T32,14,Ashun Wu represents 475644Ashun Wu,E,F,-1,66,76,72,70,284
T40,8,Rafa Cabrera Bello represents 475833Rafa Cabrera Bello,1,F,2,71,67,74,73,285
T40,18,John Catlin represents 475851John Catlin,1,F,-2,68,75,73,69,285
T40,8,Thorbjørn Olesen represents 475687Thorbjørn Olesen,1,F,2,70,74,68,73,285
T40,16,Adrian Otaegui represents 475833Adrian Otaegui,1,F,3,68,67,76,74,285
T40,22,David Ravetto represents 475707David Ravetto,1,F,-3,72,70,75,68,285
T40,3,Freddy Schott represents 475711Freddy Schott,1,F,1,72,70,71,72,285
T40,16,Justin Walters represents 475832Justin Walters,1,F,3,69,71,71,74,285
T47,15,Jens Dantorp represents 475696Jens Dantorp,2,F,3,71,72,69,74,286
T47,15,Alejandro Del Rey represents 475833Alejandro Del Rey,2,F,3,76,68,68,74,286
T47,1,Rasmus Hojgaard represents 475687Rasmus Hojgaard,2,F,1,71,72,71,72,286
T47,6,Scott Jamieson represents 475842Scott Jamieson,2,F,E,70,73,72,71,286
T47,10,Alexander Levy represents 475707Alexander Levy,2,F,2,72,70,71,73,286
52,15,Robin Sciot-Siegrist represents 475707Robin Sciot-Siegrist,3,F,3,73,71,69,74,287
T53,,Sean Crocker represents 475851Sean Crocker,4,F,2,71,72,72,73,288
T53,7,Michael Lorenzo-Vera represents 475707Michael Lorenzo-Vera,4,F,3,73,70,71,74,288
T53,7,Richie Ramsay represents 475842Richie Ramsay,4,F,3,73,71,70,74,288
T53,,Jeong Weon Ko represents 475707Jeong Weon Ko,4,F,2,70,72,73,73,288
T57,11,Daniel Brown represents 476063Daniel Brown,5,F,4,69,71,74,75,289
T57,1,Pedro Figueiredo represents 475787Pedro Figueiredo,5,F,2,73,71,72,73,289
T57,10,Daniel Gavins represents 476063Daniel Gavins,5,F,E,74,70,74,71,289
T57,4,Jazz Janewattananond represents 475682Jazz Janewattananond,5,F,3,71,72,72,74,289
T57,5,Guido Migliozzi represents 475731Guido Migliozzi,5,F,1,69,74,74,72,289
T57,5,Lukas Nemecz represents 475609Lukas Nemecz,5,F,1,71,71,75,72,289
T57,1,Garrick Porteous represents 476063Garrick Porteous,5,F,2,69,73,74,73,289
T64,2,Angel Hidalgo represents 475833Angel Hidalgo,6,F,2,77,67,73,73,290
T64,2,Aron Zemmer represents 475731Aron Zemmer,6,F,2,71,71,75,73,290
66,20,Louis De Jager represents 475832Louis De Jager,7,F,6,76,68,70,77,291
T67,30,Ross Fisher represents 476063Ross Fisher,8,F,8,72,71,70,79,292
T67,1,Joost Luiten represents 475770Joost Luiten,8,F,3,71,70,77,74,292
69,1,Søren Kjeldsen represents 475687Søren Kjeldsen,9,F,2,72,72,76,73,293
70,3,Richard Mansell represents 476063Richard Mansell,11,F,6,71,71,76,77,295
71,1,Renato Paratore represents 475731Renato Paratore,13,F,6,72,69,79,77,297
72,1,Julien Brun represents 475707Julien Brun,15,F,4,71,70,83,75,299
